booking_id,user_id,shop_id,service_type,time_of_day,distance_km,rating_given
B02067,U0861,S002,Haircut,Afternoon,12.2,3.4
B02068,U0427,S053,Manicure,Morning,4.8,3.9
B02069,U0784,S026,Haircut,Afternoon,2.3,4.3
B02070,U0340,S013,Spa,Afternoon,7,4
B02071,U0354,S023,Coloring,Afternoon,2.4,5
B02072,U0300,S068,Pedicure,Weekend,3.4,4
B02073,U0254,S001,Haircut,Evening,14.6,4.1
B02074,U0309,S064,Pedicure,Weekend,2.5,2.8
B02075,U0987,S072,Coloring,Afternoon,2.4,4.5
B02076,U0947,S052,Manicure,Weekend,8.6,4.8
B02077,U0330,S034,Pedicure,Afternoon,5.2,4.7
B02078,U0131,S098,Coloring,Evening,7.1,3.7
B02079,U0970,S025,Coloring,Morning,2.9,3.5
B02080,U0545,S024,Coloring,Evening,3.4,4.3
B02081,U0990,S095,Manicure,Evening,8.6,5
B02082,U0927,S015,Coloring,Weekend,2,3.9
B02083,U0094,S054,Haircut,Afternoon,2.9,4.5
B02084,U0039,S010,Pedicure,Weekend,9.8,4.3
B02085,U0571,S042,Haircut,Morning,7.3,4.4
B02086,U0244,S075,Spa,Afternoon,8.1,4.4
B02087,U0359,S029,Manicure,Morning,1.5,3.5
B02088,U0760,S073,Haircut,Evening,1.1,2.4
B02089,U0219,S056,Coloring,Weekend,10.9,3.9
B02090,U0318,S058,Spa,Weekend,6.3,3.1
B02091,U0871,S072,Haircut,Evening,1.2,4.3
B02092,U0610,S057,Haircut,Evening,1,3.4
B02093,U0760,S019,Coloring,Evening,2.3,4.4
B02094,U0246,S043,Pedicure,Evening,10.2,3.4
B02095,U0634,S019,Coloring,Evening,9.9,4.2
B02096,U0255,S050,Haircut,Weekend,9.7,2.7
B02097,U0427,S067,Haircut,Afternoon,4.9,3.2
B02098,U0433,S086,Coloring,Afternoon,2.9,4.2
B02099,U0673,S059,Haircut,Evening,1.6,3.2
B02100,U0027,S001,Spa,Evening,5.8,4.5
B02101,U0955,S015,Coloring,Weekend,5.3,4.6
B02102,U0908,S033,Haircut,Weekend,5.1,4.2
B02103,U0668,S054,Pedicure,Weekend,2.9,3.4
B02104,U0824,S060,Spa,Evening,3,4.1
B02105,U0777,S016,Spa,Afternoon,14,5
B02106,U0016,S008,Pedicure,Afternoon,10.5,4
B02107,U0507,S035,Coloring,Morning,7.9,4.3
B02108,U0705,S007,Coloring,Evening,7.2,5
B02109,U0583,S043,Pedicure,Weekend,10.2,3.6
B02110,U0880,S014,Haircut,Evening,11.3,5
B02111,U0885,S016,Spa,Afternoon,6.6,5
B02112,U0637,S064,Haircut,Weekend,8.5,3.1
B02113,U0734,S027,Coloring,Evening,2.8,4.5
B02114,U0078,S084,Coloring,Evening,8,3.3
B02115,U0379,S049,Haircut,Morning,9.7,2.5
B02116,U0040,S041,Coloring,Weekend,2.2,4.3
B02117,U0095,S018,Manicure,Evening,1.7,3.4
B02118,U0422,S022,Coloring,Evening,1.7,3.9
B02119,U0161,S088,Manicure,Afternoon,0.9,2.6
B02120,U0871,S033,Haircut,Afternoon,0.7,4.6
B02121,U0781,S012,Pedicure,Evening,4.9,3.8
B02122,U0190,S048,Spa,Afternoon,10.7,4
B02123,U0526,S020,Coloring,Afternoon,3.7,4.5
B02124,U0392,S004,Spa,Weekend,2.9,3.7
B02125,U0038,S093,Coloring,Evening,8,3
B02126,U0651,S097,Pedicure,Evening,12.4,3.4
B02127,U0440,S060,Spa,Afternoon,1.8,3.8
B02128,U0637,S073,Spa,Weekend,6.6,3
B02129,U0720,S024,Coloring,Weekend,11.4,4.9
B02130,U0151,S021,Manicure,Morning,11.3,4.3
B02131,U0888,S095,Manicure,Morning,1.7,5
B02132,U0339,S033,Pedicure,Weekend,11.3,3.7
B02133,U0093,S028,Coloring,Morning,1.2,5
B02134,U0439,S083,Coloring,Evening,6.3,2.9
B02135,U0944,S092,Coloring,Evening,2.6,2.8
B02136,U0453,S078,Coloring,Morning,6.3,4.1
B02137,U0135,S084,Coloring,Afternoon,10.9,3.1
B02138,U0010,S088,Pedicure,Weekend,7.2,3.4
B02139,U0526,S028,Manicure,Afternoon,2.7,4.8
B02140,U0683,S033,Pedicure,Afternoon,1,3.5
B02141,U0809,S024,Coloring,Morning,9,4.7
B02142,U0806,S067,Pedicure,Evening,11.4,3.2
B02143,U0396,S068,Manicure,Weekend,10.5,3.5
B02144,U0911,S023,Coloring,Evening,5.6,5
B02145,U0700,S031,Pedicure,Morning,1.7,4.5
B02146,U0640,S054,Haircut,Weekend,7.5,3.4
B02147,U0027,S040,Pedicure,Evening,14.2,3
B02148,U0498,S039,Coloring,Evening,9.9,3.9
B02149,U0650,S042,Haircut,Morning,0.7,3.7
B02150,U0712,S019,Spa,Weekend,1.3,4.1
B02151,U0902,S062,Pedicure,Weekend,9.9,3
B02152,U0238,S027,Spa,Weekend,9,3.8
B02153,U0248,S033,Haircut,Evening,2.4,4.6
B02154,U0310,S086,Spa,Morning,1.6,4.3
B02155,U0028,S057,Haircut,Morning,12.9,3.6
B02156,U0224,S051,Spa,Evening,13.7,4.6
B02157,U0962,S074,Spa,Weekend,4.5,2.5
B02158,U0554,S025,Haircut,Afternoon,14.1,2.7
B02159,U0752,S009,Manicure,Evening,0.6,3.1
B02160,U0257,S004,Spa,Evening,2.2,3.7
B02161,U0636,S049,Pedicure,Morning,1.8,3.7
B02162,U0914,S076,Spa,Evening,13.7,4.2
B02163,U0820,S092,Haircut,Evening,4.6,3.7
B02164,U0831,S051,Spa,Weekend,5.3,5
B02165,U0110,S067,Pedicure,Afternoon,5.7,3.7
B02166,U0726,S089,Haircut,Morning,7.9,3.6
B02167,U0574,S092,Coloring,Weekend,11.7,3.6
B02168,U0018,S020,Coloring,Morning,3.8,3.7
B02169,U0524,S096,Spa,Weekend,2.5,4.4
B02170,U0395,S055,Coloring,Morning,7.4,4
B02171,U0726,S098,Coloring,Morning,4.1,4.3
B02172,U0735,S087,Coloring,Evening,14.3,4.2
B02173,U0605,S023,Coloring,Weekend,9.4,4.5
B02174,U0070,S089,Pedicure,Weekend,5.4,2.7
B02175,U0747,S004,Spa,Weekend,14.5,3.8
B02176,U0727,S041,Pedicure,Morning,11.1,3.3
B02177,U0058,S074,Spa,Weekend,9.2,3
B02178,U0582,S093,Haircut,Morning,8.1,3.9
B02179,U0169,S071,Haircut,Evening,2.3,2.8
B02180,U0431,S061,Manicure,Afternoon,2.5,3.6
B02181,U0340,S063,Pedicure,Afternoon,3.6,4.8
B02182,U0838,S035,Coloring,Weekend,2.9,3.9
B02183,U0985,S065,Spa,Afternoon,4.7,4.6
B02184,U0667,S100,Pedicure,Evening,1.8,4.6
B02185,U0190,S009,Manicure,Afternoon,9.7,4
B02186,U0268,S077,Coloring,Weekend,1.9,4.2
B02187,U0645,S072,Coloring,Morning,1.9,4.7
B02188,U1000,S058,Spa,Weekend,10,3.3
B02189,U0442,S049,Coloring,Weekend,6.7,3
B02190,U0924,S092,Haircut,Morning,12.6,3
B02191,U0336,S065,Spa,Evening,7.3,4.8
B02192,U0841,S001,Spa,Weekend,6.5,4
B02193,U0928,S063,Manicure,Evening,1.2,4.2
B02194,U0069,S011,Coloring,Afternoon,4.9,3.2
B02195,U0354,S075,Spa,Afternoon,1.3,3.6
B02196,U0940,S075,Spa,Afternoon,4.3,3.5
B02197,U0082,S028,Haircut,Weekend,7.5,4
B02198,U0119,S048,Spa,Weekend,1,4.2
B02199,U0302,S095,Haircut,Morning,6,4.4
B02200,U0961,S042,Spa,Evening,1.9,3.4
B02201,U0482,S097,Manicure,Afternoon,11.4,2.9
B02202,U0988,S020,Haircut,Afternoon,12.1,4.4
B02203,U0580,S071,Haircut,Weekend,2.8,2.9
B02204,U0539,S079,Manicure,Morning,11,4.1
B02205,U0770,S076,Spa,Evening,3.1,4.7
B02206,U0388,S071,Pedicure,Evening,9.1,2.1
B02207,U0836,S060,Spa,Evening,1.7,4.6
B02208,U0691,S054,Coloring,Morning,1.4,4.7
B02209,U0208,S077,Coloring,Evening,14.7,5
B02210,U0077,S016,Spa,Morning,5.9,5
B02211,U0361,S014,Haircut,Weekend,12.8,4.4
B02212,U0893,S098,Coloring,Afternoon,10.9,3.9
B02213,U0754,S078,Spa,Weekend,11.3,4.8
B02214,U0591,S048,Haircut,Weekend,13.9,4.4
B02215,U0738,S040,Manicure,Evening,8.6,4.3
B02216,U0741,S035,Coloring,Weekend,7.6,3.9
B02217,U0056,S019,Spa,Weekend,9.4,3.8
B02218,U0719,S010,Coloring,Weekend,14.5,3.6
B02219,U0946,S035,Coloring,Evening,2.4,4
B02220,U0476,S084,Coloring,Afternoon,1.4,3.1
B02221,U0507,S062,Pedicure,Morning,13.8,3
B02222,U0205,S004,Spa,Evening,6.3,3.8
B02223,U0203,S046,Haircut,Morning,2.5,4
B02224,U0767,S040,Pedicure,Evening,6.6,3.7
B02225,U0767,S017,Haircut,Evening,4.5,2.4
B02226,U0382,S060,Spa,Weekend,8,3.9
B02227,U0258,S090,Haircut,Evening,0.6,4.9
B02228,U0400,S080,Manicure,Evening,0.7,3.8
B02229,U0631,S017,Manicure,Weekend,12.4,2.9
B02230,U0876,S070,Spa,Weekend,8.3,4.2
B02231,U0063,S081,Manicure,Morning,10.9,4.8
B02232,U0646,S009,Manicure,Afternoon,8.9,3.2
B02233,U0533,S023,Coloring,Morning,10.7,5
B02234,U0411,S058,Manicure,Evening,1.8,2.2
B02235,U0571,S055,Coloring,Morning,3.2,5
B02236,U0412,S006,Haircut,Morning,5.5,3.4
B02237,U0468,S029,Haircut,Evening,1.3,3.2
B02238,U0295,S082,Manicure,Morning,2.1,4.3
B02239,U0820,S010,Coloring,Weekend,13.1,4
B02240,U0049,S083,Manicure,Weekend,10.5,3.1
B02241,U0890,S031,Manicure,Weekend,2.5,3.5
B02242,U0694,S049,Haircut,Evening,0.9,3.6
B02243,U0084,S020,Haircut,Weekend,14,3.9
B02244,U0609,S083,Spa,Evening,8.5,3.5
B02245,U0083,S048,Spa,Morning,11.5,4.3
B02246,U0517,S017,Manicure,Morning,12.1,2.2
B02247,U0357,S073,Haircut,Evening,11.6,2.6
B02248,U0613,S060,Spa,Evening,11.1,4.5
B02249,U0766,S005,Coloring,Morning,6.2,4.3
B02250,U0977,S033,Pedicure,Evening,1.1,3.9
B02251,U0632,S073,Manicure,Evening,4.2,3.6
B02252,U0631,S003,Coloring,Weekend,6.2,3.5
B02253,U0148,S032,Manicure,Morning,1.7,3.1
B02254,U0821,S005,Pedicure,Morning,1.9,4.8
B02255,U0240,S063,Spa,Morning,6.1,5
B02256,U0051,S004,Spa,Evening,9.1,3
B02257,U0065,S089,Haircut,Weekend,1.3,3.8
B02258,U0234,S061,Manicure,Evening,0.9,4.2
B02259,U0183,S041,Coloring,Evening,1.8,4.3
B02260,U0275,S041,Pedicure,Weekend,5.1,3.5
B02261,U0468,S046,Pedicure,Evening,1.2,4.1
B02262,U0101,S038,Haircut,Morning,1.5,4.5
B02263,U0742,S022,Haircut,Morning,8.6,3.9
B02264,U0311,S053,Manicure,Evening,3.3,4.4
B02265,U0772,S001,Coloring,Evening,6.1,4.3
B02266,U0504,S046,Haircut,Weekend,11.6,3.2
B02267,U0519,S080,Manicure,Evening,14.2,4
B02268,U0278,S095,Coloring,Morning,11.5,4.5
B02269,U0058,S054,Haircut,Weekend,4,3.9
B02270,U0163,S009,Haircut,Afternoon,11.7,3.2
B02271,U0583,S049,Haircut,Weekend,11.7,2.6
B02272,U0464,S077,Coloring,Weekend,1.3,4.2
B02273,U0545,S051,Spa,Morning,10.1,5
B02274,U0472,S035,Coloring,Weekend,12,3.3
B02275,U0876,S040,Manicure,Weekend,12.2,3
B02276,U0442,S001,Coloring,Weekend,8.2,3.5
B02277,U0228,S069,Manicure,Morning,14.2,4
B02278,U0434,S099,Haircut,Afternoon,4.8,3.7
B02279,U0942,S005,Pedicure,Afternoon,2,4.3
B02280,U0864,S037,Coloring,Afternoon,2.4,3.7
B02281,U0459,S062,Pedicure,Evening,12.3,2.4
B02282,U0779,S038,Haircut,Evening,8.7,4.1
B02283,U0317,S031,Haircut,Morning,5.7,3.2
B02284,U0002,S043,Pedicure,Evening,8.5,2.5
B02285,U0694,S078,Spa,Weekend,0.9,5
B02286,U0567,S066,Pedicure,Weekend,4.2,2.8
B02287,U0844,S008,Haircut,Morning,4.1,5
B02288,U0445,S030,Haircut,Evening,2.7,4.6
B02289,U0566,S054,Haircut,Evening,7.8,3.6
B02290,U0592,S082,Spa,Weekend,2,4.6
B02291,U0733,S096,Coloring,Evening,10.2,3.7
B02292,U0717,S085,Spa,Evening,6.5,3.6
B02293,U0709,S076,Coloring,Weekend,12.9,4.5
B02294,U0787,S097,Coloring,Evening,4.3,3.9
B02295,U0232,S054,Coloring,Afternoon,1.8,3.4
B02296,U0929,S011,Coloring,Weekend,9.1,3.7
B02297,U0133,S053,Manicure,Afternoon,1.1,3.4
B02298,U0967,S014,Haircut,Evening,9.1,4.1
B02299,U0945,S043,Pedicure,Morning,8.1,3.4
B02300,U0623,S059,Manicure,Afternoon,9.2,3.2
B02301,U0180,S057,Haircut,Afternoon,12.6,3.9
B02302,U0499,S022,Haircut,Weekend,8.1,3.7
B02303,U0275,S051,Spa,Evening,3.8,5
B02304,U0187,S100,Pedicure,Evening,3,4.7
B02305,U0235,S035,Coloring,Evening,10.5,3.2
B02306,U0190,S088,Manicure,Afternoon,10.6,2.8
B02307,U0766,S071,Haircut,Evening,5.3,2.8
B02308,U0668,S051,Spa,Weekend,4.7,4.7
B02309,U0530,S023,Coloring,Weekend,6,4.7
B02310,U0985,S044,Haircut,Afternoon,13.5,3.9
B02311,U0331,S003,Pedicure,Evening,11.9,4
B02312,U0438,S077,Spa,Afternoon,8.1,4.1
B02313,U0261,S014,Haircut,Weekend,7.3,4.9
B02314,U0244,S049,Haircut,Morning,13.9,2.7
B02315,U0875,S039,Pedicure,Weekend,5.5,4.1
B02316,U0801,S052,Coloring,Morning,1.1,4.4
B02317,U0585,S011,Coloring,Morning,11.1,3.1
B02318,U0474,S063,Manicure,Weekend,10,4.3
B02319,U0388,S029,Pedicure,Evening,3.1,3.2
B02320,U0728,S071,Pedicure,Morning,1.7,2.4
B02321,U0514,S014,Haircut,Evening,14.1,4.6
B02322,U0046,S060,Spa,Morning,12.1,4.2
B02323,U0045,S034,Manicure,Afternoon,10.5,4.7
B02324,U0521,S055,Pedicure,Weekend,13.2,4.5
B02325,U0812,S075,Spa,Weekend,10.1,3.4
B02326,U0670,S027,Spa,Weekend,12.7,4
B02327,U0987,S011,Coloring,Afternoon,2.9,4.1
B02328,U0086,S068,Manicure,Morning,2.4,4.7
B02329,U0327,S019,Spa,Weekend,4.1,3.2
B02330,U0415,S038,Haircut,Morning,4.7,3.9
B02331,U0470,S003,Pedicure,Afternoon,3,3.9
B02332,U0944,S059,Manicure,Evening,2.2,3.1
B02333,U0133,S028,Haircut,Afternoon,2.8,4.4
B02334,U0996,S029,Coloring,Evening,14.6,3.1
B02335,U0169,S010,Manicure,Evening,2.1,4
B02336,U0453,S078,Coloring,Weekend,7.2,5
B02337,U0225,S063,Spa,Morning,4.6,3.9
B02338,U0952,S020,Haircut,Evening,11.5,5
B02339,U0695,S014,Haircut,Afternoon,5.6,5
B02340,U0590,S067,Spa,Afternoon,1.6,3.8
B02341,U0643,S051,Spa,Afternoon,9.1,5
B02342,U0538,S085,Haircut,Evening,12.2,3.5
B02343,U0800,S093,Coloring,Weekend,2,4.1
B02344,U0623,S026,Manicure,Afternoon,14.3,3.8
B02345,U0985,S076,Spa,Afternoon,2.4,3.7
B02346,U0169,S054,Haircut,Evening,2.6,4.7
B02347,U0598,S068,Haircut,Afternoon,5.2,4.1
B02348,U0105,S090,Pedicure,Morning,12.3,4.9
B02349,U0540,S051,Spa,Weekend,9.2,5
B02350,U0645,S040,Manicure,Morning,2.4,4
B02351,U0758,S077,Haircut,Afternoon,11.1,4.8
B02352,U0972,S009,Manicure,Morning,0.6,3.5
B02353,U0721,S046,Pedicure,Morning,12.2,4.4
B02354,U0272,S064,Haircut,Evening,1.3,3.7
B02355,U0689,S010,Manicure,Afternoon,7.9,3.4
B02356,U0231,S065,Spa,Morning,1.2,5
B02357,U0399,S092,Coloring,Weekend,2.4,3.1
B02358,U0037,S062,Pedicure,Morning,14.7,2.6
B02359,U0713,S046,Haircut,Morning,13.7,3.4
B02360,U0146,S060,Spa,Weekend,11.4,4.6
B02361,U0707,S099,Haircut,Evening,1.7,4
B02362,U0140,S051,Spa,Weekend,3,5
B02363,U0181,S004,Spa,Evening,14.3,3.2
B02364,U0827,S069,Pedicure,Afternoon,8.7,4.2
B02365,U0852,S072,Coloring,Weekend,8,4.5
B02366,U0638,S074,Spa,Evening,13.7,3
B02367,U0169,S052,Pedicure,Afternoon,0.6,4.4
B02368,U0201,S067,Haircut,Morning,12.1,4.5
B02369,U0098,S081,Haircut,Afternoon,11.3,4.4
B02370,U0178,S005,Haircut,Weekend,4.4,4.1
B02371,U0927,S093,Coloring,Weekend,5.3,4
B02372,U0751,S077,Spa,Evening,2.5,4.6
B02373,U0197,S097,Spa,Evening,0.8,4
B02374,U0138,S018,Spa,Weekend,5.6,4.2
B02375,U0747,S052,Coloring,Afternoon,4.5,5
B02376,U0920,S024,Manicure,Afternoon,2.2,4.9
B02377,U0834,S080,Manicure,Evening,13.8,3.8
B02378,U0186,S017,Haircut,Weekend,8.1,2.7
B02379,U0748,S021,Coloring,Evening,10.1,4.2
B02380,U0180,S049,Haircut,Afternoon,4.4,2.7
B02381,U0416,S080,Manicure,Evening,6.6,5
B02382,U0843,S042,Manicure,Morning,2.4,4.1
B02383,U0891,S079,Coloring,Evening,3,4
B02384,U0040,S049,Coloring,Afternoon,1.4,3.5
B02385,U0940,S006,Spa,Weekend,9,3.2
B02386,U0635,S065,Spa,Afternoon,11.6,4.2
B02387,U0437,S008,Spa,Evening,4.8,4.8
B02388,U0657,S095,Manicure,Afternoon,1.9,4
B02389,U0972,S040,Manicure,Morning,0.7,4.2
B02390,U0927,S026,Coloring,Morning,4.6,3.5
B02391,U0810,S085,Haircut,Evening,1.8,4
B02392,U0817,S001,Haircut,Evening,10.8,3.5
B02393,U0854,S036,Coloring,Morning,3.3,4.3
B02394,U0860,S076,Coloring,Morning,12,4.4
B02395,U0270,S082,Manicure,Evening,13.3,4.2
B02396,U0494,S080,Manicure,Evening,3,4.1
B02397,U0159,S052,Coloring,Afternoon,0.9,3.8
B02398,U0689,S100,Pedicure,Afternoon,11.7,3.7
B02399,U0422,S090,Coloring,Evening,2.6,3.9
B02400,U0132,S097,Coloring,Afternoon,9.4,3.2
B02401,U0538,S044,Haircut,Evening,14.8,4
B02402,U0453,S031,Pedicure,Weekend,10.4,4.6
B02403,U0917,S022,Haircut,Evening,1.1,3.3
B02404,U0232,S066,Coloring,Afternoon,0.9,2.5
B02405,U0716,S083,Haircut,Evening,0.9,3.7
B02406,U0346,S058,Manicure,Afternoon,9.4,2.2
B02407,U0367,S015,Coloring,Weekend,8.2,4.9
B02408,U0710,S087,Coloring,Weekend,10.2,3.6
B02409,U0414,S048,Haircut,Evening,13.5,3.7
B02410,U0834,S049,Haircut,Morning,13.3,3.2
B02411,U0614,S007,Haircut,Morning,5.5,4
B02412,U0632,S080,Manicure,Evening,14.3,4.9
B02413,U0008,S078,Coloring,Evening,4.2,4.6
B02414,U0310,S021,Haircut,Morning,11.2,5
B02415,U0919,S035,Coloring,Afternoon,11.5,3.6
B02416,U0906,S088,Manicure,Morning,3.9,3
B02417,U0866,S084,Coloring,Weekend,3.8,3.7
B02418,U0317,S086,Coloring,Morning,13,4.6
B02419,U0811,S055,Coloring,Morning,9.3,4.3
B02420,U0872,S066,Haircut,Morning,13.9,3.8
B02421,U0449,S088,Manicure,Afternoon,1.2,2.2
B02422,U0878,S035,Coloring,Weekend,4.2,3.5
B02423,U0841,S077,Spa,Weekend,11.1,4.5
B02424,U0256,S030,Manicure,Afternoon,6.6,4.7
B02425,U0207,S025,Manicure,Morning,7.9,3.1
B02426,U0589,S084,Coloring,Weekend,1.5,2.8
B02427,U0919,S064,Haircut,Weekend,14.5,3.3
B02428,U0408,S027,Haircut,Afternoon,5.3,3.5
B02429,U0789,S057,Coloring,Afternoon,2.6,3.3
B02430,U0715,S061,Manicure,Afternoon,4.5,4.3
B02431,U0709,S082,Coloring,Weekend,14.4,5
B02432,U0504,S053,Manicure,Morning,8.3,4.5
B02433,U0053,S068,Manicure,Weekend,12.5,4.2
B02434,U0373,S098,Coloring,Weekend,7.4,4.1
B02435,U0438,S018,Spa,Weekend,10.5,3.9
B02436,U0783,S055,Pedicure,Afternoon,2.3,5
B02437,U0983,S015,Coloring,Evening,7.2,4.6
B02438,U0184,S076,Manicure,Morning,11.9,4.9
B02439,U0016,S054,Pedicure,Weekend,5.6,3.8
B02440,U0623,S034,Manicure,Weekend,8.8,4.3
B02441,U0345,S054,Haircut,Morning,2.9,4.7
B02442,U0317,S055,Spa,Morning,7.1,5
B02443,U0883,S021,Coloring,Weekend,8.2,4.1
B02444,U0457,S006,Pedicure,Weekend,1.8,3.3
B02445,U0425,S039,Coloring,Evening,1,4.8
B02446,U0897,S006,Haircut,Evening,14.7,3.2
B02447,U0197,S080,Manicure,Morning,2.1,3.8
B02448,U0554,S035,Coloring,Afternoon,4.6,3.5
B02449,U0674,S093,Haircut,Afternoon,13.6,3
B02450,U0850,S021,Haircut,Morning,11.3,4.8
B02451,U0418,S050,Haircut,Morning,1.6,2.3
B02452,U0049,S057,Haircut,Afternoon,4.6,4.5
B02453,U0528,S070,Coloring,Morning,2,4.7
B02454,U0899,S027,Manicure,Evening,10.6,4.2
B02455,U0158,S057,Coloring,Weekend,11,4.5
B02456,U0702,S018,Manicure,Morning,5.4,3.8
B02457,U0341,S001,Spa,Weekend,7.8,3.5
B02458,U0830,S041,Coloring,Afternoon,2.5,4
B02459,U0380,S090,Haircut,Evening,1.2,4.2
B02460,U0390,S050,Spa,Afternoon,0.8,2.6
B02461,U0654,S082,Spa,Morning,13,4.4
B02462,U0982,S099,Coloring,Weekend,11.7,4.1
B02463,U0760,S028,Haircut,Evening,1.9,4.5
B02464,U0916,S008,Haircut,Morning,7.8,3.9
B02465,U0329,S052,Pedicure,Afternoon,1.6,4.8
B02466,U0625,S098,Haircut,Evening,2.2,3.8
B02467,U0192,S038,Haircut,Evening,1,3.4
B02468,U0957,S028,Haircut,Morning,4.3,4.9
B02469,U0849,S024,Pedicure,Evening,0.8,5
B02470,U0691,S050,Spa,Evening,2.1,2.4
B02471,U0447,S005,Pedicure,Weekend,7.9,4
B02472,U0053,S098,Coloring,Weekend,2.3,3.2
B02473,U0628,S092,Haircut,Evening,3.8,3.3
B02474,U0143,S095,Spa,Evening,1,5
B02475,U1000,S085,Spa,Weekend,6.1,3.4
B02476,U0094,S064,Haircut,Morning,14.1,3
B02477,U0157,S048,Spa,Evening,4.5,4
B02478,U0571,S013,Spa,Morning,10.7,3.7
B02479,U0710,S036,Spa,Weekend,7.8,4.3
B02480,U0879,S053,Manicure,Morning,13.9,4.4
B02481,U0078,S041,Pedicure,Evening,11.6,4.8
B02482,U0646,S090,Coloring,Weekend,6.1,3.9
B02483,U0096,S013,Spa,Evening,0.5,3.7
B02484,U0623,S061,Manicure,Afternoon,7.2,4.7
B02485,U0405,S032,Pedicure,Morning,2.4,2.9
B02486,U0218,S032,Manicure,Morning,0.8,2.3
B02487,U0394,S008,Haircut,Afternoon,3.4,5
B02488,U0467,S043,Pedicure,Evening,13.3,3.4
B02489,U0607,S053,Manicure,Evening,1.7,3.8
B02490,U0037,S084,Coloring,Morning,1.1,2.8
B02491,U0607,S068,Pedicure,Evening,0.8,4.6
B02492,U0176,S100,Coloring,Weekend,5.4,4
B02493,U0883,S087,Coloring,Weekend,14.2,4.4
B02494,U0122,S087,Coloring,Weekend,13.4,3.2
B02495,U0305,S094,Coloring,Weekend,14.1,4
B02496,U0241,S060,Spa,Morning,1.9,4.3
B02497,U0257,S051,Spa,Evening,1.1,5
B02498,U0087,S020,Haircut,Afternoon,6.7,3.8
B02499,U0568,S068,Spa,Weekend,6,3.3
B02500,U0870,S085,Spa,Weekend,5.1,4.4
B02501,U0511,S041,Pedicure,Weekend,7.5,3.5
B02502,U0562,S048,Haircut,Weekend,7.6,3.6
B02503,U0076,S044,Haircut,Weekend,4.3,3.4
B02504,U0320,S055,Spa,Morning,11,4.7
B02505,U0613,S039,Pedicure,Evening,3.5,4.8
B02506,U0984,S069,Haircut,Morning,13.8,3.2
B02507,U0958,S098,Coloring,Afternoon,3.5,3.3
B02508,U0751,S042,Spa,Afternoon,2.8,4.4
B02509,U0315,S053,Manicure,Afternoon,10.3,4.3
B02510,U0673,S043,Pedicure,Morning,9.9,3.7
B02511,U0106,S042,Manicure,Morning,9.7,4.1
B02512,U0105,S062,Pedicure,Morning,6.7,2.5
B02513,U0443,S046,Haircut,Weekend,3.6,3.4
B02514,U0224,S096,Pedicure,Evening,12.8,3.3
B02515,U0824,S032,Haircut,Morning,1.4,2.4
B02516,U0054,S061,Manicure,Morning,1.2,4.2
B02517,U0303,S015,Spa,Evening,14.6,4.1
B02518,U0872,S038,Haircut,Morning,11.6,4.1
B02519,U0939,S050,Spa,Afternoon,1.4,2.8
B02520,U0928,S001,Manicure,Weekend,14.3,3.4
B02521,U0472,S071,Haircut,Weekend,6.4,2.2
B02522,U0294,S039,Spa,Evening,12.7,4.7
B02523,U0509,S045,Pedicure,Morning,9.5,3.7
B02524,U0788,S090,Haircut,Morning,13.9,3.9
B02525,U0806,S100,Pedicure,Morning,2.4,3.8
B02526,U0708,S039,Coloring,Weekend,5.5,3.6
B02527,U0655,S001,Coloring,Weekend,13.5,3.3
B02528,U0478,S065,Spa,Morning,2.9,4.2
B02529,U0927,S092,Coloring,Evening,10.8,3.1
B02530,U0322,S021,Manicure,Weekend,4.1,4.8
B02531,U0621,S046,Haircut,Weekend,6.6,3.1
B02532,U0933,S026,Haircut,Weekend,14.5,4.5
B02533,U0990,S089,Pedicure,Morning,8.9,3.9
B02534,U0750,S012,Coloring,Afternoon,0.5,3.5
B02535,U0417,S038,Haircut,Evening,1.9,3.3
B02536,U0682,S086,Manicure,Weekend,1.5,4.9
B02537,U0519,S015,Spa,Morning,10.6,5
B02538,U0864,S068,Manicure,Afternoon,6.1,4
B02539,U0417,S038,Haircut,Evening,1.1,3.5
B02540,U0017,S083,Spa,Weekend,7.7,3.8
B02541,U0439,S077,Coloring,Evening,7,4
B02542,U0985,S091,Haircut,Weekend,9.8,4.2
B02543,U0593,S083,Coloring,Morning,12.9,3.6
B02544,U0496,S100,Coloring,Weekend,8.4,4.2
B02545,U0857,S037,Coloring,Weekend,7,3.4
B02546,U0900,S075,Spa,Afternoon,2.3,3.1
B02547,U0504,S021,Haircut,Morning,10.1,5
B02548,U0030,S027,Haircut,Afternoon,3.9,4.3
B02549,U0271,S017,Manicure,Morning,0.8,3.4
B02550,U0416,S033,Pedicure,Weekend,6.2,4.3
B02551,U0621,S097,Manicure,Morning,12.9,4.1
B02552,U0317,S067,Haircut,Morning,13.2,3.5
B02553,U0890,S054,Spa,Afternoon,1.6,3.4
B02554,U0602,S038,Haircut,Afternoon,7.8,4.1
B02555,U0813,S060,Spa,Afternoon,5.5,4.8
B02556,U0069,S022,Spa,Evening,10.8,3.8
B02557,U0772,S014,Haircut,Evening,2.9,4.1
B02558,U0206,S063,Manicure,Weekend,3.9,4.8
B02559,U0016,S019,Coloring,Weekend,9.6,3.2
B02560,U0920,S048,Spa,Afternoon,2.2,3.8
B02561,U0919,S021,Haircut,Weekend,5.2,5
B02562,U0606,S042,Haircut,Weekend,2.3,3.2
